시즌,소속팀,이름,포지션,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WPA
1988,태평양 돌핀스,최영환,C,0.26,37,90,81,6,19,2,1,1,26,10,0,0,5,1,0,9,2,1,2,0.235,0.281,0.321,0.602,0.278,66.4,
1988,태평양 돌핀스,유동효,,0.25,50,105,97,13,24,3,1,2,35,8,1,0,4,1,0,16,2,3,0,0.247,0.284,0.361,0.645,0.292,75.7,
1988,태평양 돌핀스,박상국,1B,0.25,54,159,144,20,37,7,1,1,49,8,3,0,11,1,0,16,2,3,0,0.257,0.314,0.34,0.654,0.304,84.1,
1988,태평양 돌핀스,곽권희,,0.23,71,166,147,14,33,6,1,3,50,9,3,2,12,1,0,28,2,6,0,0.224,0.288,0.34,0.628,0.284,70.8,
1988,태평양 돌핀스,정진호,2B,0.21,57,166,145,14,37,7,0,0,44,9,4,5,12,2,0,13,5,6,1,0.255,0.319,0.303,0.622,0.288,73.5,
1988,태평양 돌핀스,정현발,CF,0.07,57,158,138,11,26,5,0,5,46,17,0,0,16,0,2,32,6,2,2,0.188,0.269,0.333,0.603,0.273,62.6,
1988,태평양 돌핀스,김승태,C,0.04,1,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.474,200.8,
1988,태평양 돌핀스,이연수,,-0.05,11,39,36,5,8,0,1,0,10,2,0,0,2,0,0,4,2,1,0,0.222,0.263,0.278,0.541,0.25,47.1,
1988,태평양 돌핀스,송형석,,-0.06,6,6,6,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.167,0.167,0.167,0.333,0.158,-16.0,
1988,태평양 돌핀스,김한조,,-0.15,12,19,16,2,2,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0.125,0.222,0.125,0.347,0.175,-4.2,
1988,태평양 돌핀스,양후승,,-0.17,35,63,53,5,8,1,1,1,14,2,0,2,8,0,0,10,0,2,0,0.151,0.262,0.264,0.526,0.248,45.7,
1988,태평양 돌핀스,김경남,,-0.7,16,42,35,5,1,1,0,0,2,2,0,0,2,0,0,6,1,4,1,0.029,0.079,0.057,0.136,0.066,-79.2,
1988,태평양 돌핀스,오덕환,,-0.74,78,161,146,10,31,3,0,0,34,8,1,2,6,1,1,14,3,7,1,0.212,0.247,0.233,0.48,0.218,25.2,
1989,OB 베어스,김형석,RF,2.79,117,468,423,44,121,22,2,10,177,57,5,4,41,1,7,54,8,2,1,0.286,0.35,0.418,0.768,0.358,120.8,
1989,OB 베어스,신경식,1B,2.57,118,479,422,55,116,25,6,8,177,57,25,8,32,11,5,36,5,8,5,0.275,0.338,0.419,0.758,0.347,113.2,
1989,OB 베어스,이명수,SS,2.14,96,307,257,27,65,11,2,5,95,31,1,4,41,1,0,47,3,7,1,0.253,0.357,0.37,0.726,0.343,110.7,
1989,OB 베어스,송재박,3B,1.92,86,271,234,21,62,14,3,3,91,33,0,1,31,2,1,34,5,1,3,0.265,0.352,0.389,0.741,0.351,116.1,
1989,OB 베어스,박노준,LF,1.81,107,382,326,54,97,12,2,0,113,26,25,14,30,9,0,32,3,17,0,0.298,0.373,0.347,0.719,0.337,106.2,
1989,OB 베어스,김광림,CF,1.51,72,235,211,29,58,6,5,1,77,13,14,4,19,0,1,22,3,4,1,0.275,0.333,0.365,0.698,0.327,99.4,
1989,OB 베어스,박종훈,CF,1.31,107,334,295,31,75,13,1,1,93,21,10,5,30,3,1,28,6,5,1,0.254,0.328,0.315,0.644,0.309,87.0,
1989,OB 베어스,양세종,2B,1.22,86,285,254,34,65,9,1,4,88,29,6,4,23,2,0,42,10,2,4,0.256,0.318,0.346,0.665,0.317,92.3,
1989,OB 베어스,최동창,,1.16,50,116,97,10,32,9,0,1,44,21,0,2,14,1,0,16,2,0,4,0.33,0.405,0.454,0.859,0.402,151.8,
1989,OB 베어스,김호근,C,0.55,54,107,98,3,24,8,1,0,34,13,1,1,7,1,0,23,2,1,0,0.245,0.302,0.347,0.649,0.308,86.3,
1989,OB 베어스,구천서,SS,0.49,63,128,106,11,24,7,0,0,31,10,4,3,16,2,1,24,0,1,2,0.226,0.333,0.292,0.626,0.302,82.2,
1989,OB 베어스,김진홍,C,0.15,25,33,28,1,6,0,1,0,8,2,1,0,4,0,0,4,0,1,0,0.214,0.313,0.286,0.598,0.287,71.3,
1989,OB 베어스,김용희,,0.11,57,42,35,26,7,0,0,0,7,0,14,5,4,2,0,10,0,1,0,0.2,0.317,0.2,0.517,0.266,57.2,
1989,OB 베어스,길홍규,,0.05,17,37,35,4,9,0,0,1,12,7,0,0,1,0,0,8,1,1,0,0.257,0.278,0.343,0.621,0.288,72.2,
1989,OB 베어스,김경문,C,0.03,97,251,227,19,48,9,0,0,57,22,2,0,14,1,0,27,2,8,1,0.211,0.259,0.251,0.51,0.243,40.7,
1989,OB 베어스,구재서,,0.01,8,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,,
1989,OB 베어스,송명철,C,-0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-128.1,
1989,OB 베어스,장호연,P,-0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-128.1,
1989,OB 베어스,임채섭,,-0.04,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,-128.1,
1989,OB 베어스,서일권,,-0.04,12,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-128.1,
1989,OB 베어스,윤동균,,-0.07,6,8,8,0,1,1,0,0,2,2,0,0,0,0,0,2,1,0,0,0.125,0.125,0.25,0.375,0.171,-9.4,
1989,OB 베어스,김종석,1B,-0.17,39,62,53,3,12,2,0,0,14,11,0,1,6,0,0,16,0,0,3,0.226,0.29,0.264,0.555,0.27,59.8,
1989,OB 베어스,조범현,C,-0.25,54,97,86,6,14,3,0,1,20,5,1,0,6,0,0,11,1,4,1,0.163,0.215,0.233,0.448,0.209,17.6,
1989,OB 베어스,곽연수,,-0.29,25,47,45,2,8,0,0,0,8,3,0,0,2,0,0,10,0,0,0,0.178,0.213,0.178,0.391,0.195,7.8,
1989,OB 베어스,박현영,C,-0.32,28,36,34,2,4,2,0,0,6,0,0,1,1,0,0,9,2,1,0,0.118,0.143,0.176,0.319,0.15,-24.0,
1989,OB 베어스,김광수,DH,-0.32,98,369,309,30,68,6,3,1,83,25,16,9,43,6,0,10,7,10,1,0.22,0.326,0.269,0.595,0.291,74.3,
1989,OB 베어스,이복근,SS,-0.37,69,188,167,15,31,4,1,3,46,17,1,4,12,0,0,47,2,6,3,0.186,0.236,0.275,0.512,0.238,37.4,
1989,OB 베어스,안대환,,-0.6,53,100,92,9,12,2,0,2,20,5,6,3,6,0,0,18,0,1,1,0.13,0.182,0.217,0.399,0.192,5.5,
1989,OB 베어스,이승희,3B,-0.62,61,92,85,6,11,0,0,1,14,6,2,0,6,0,0,27,2,1,0,0.129,0.187,0.165,0.352,0.176,-5.5,
1989,삼성 라이온즈,이만수,C,5.06,110,413,359,55,102,11,0,20,173,64,4,5,42,10,0,48,12,0,2,0.284,0.373,0.482,0.855,0.401,149.0,
1989,삼성 라이온즈,강기웅,2B,3.14,95,385,351,48,113,12,4,1,136,33,26,6,17,3,0,34,2,6,8,0.322,0.351,0.387,0.738,0.345,111.5,
1989,삼성 라이온즈,김용국,3B,3.09,98,373,333,53,96,15,1,9,140,44,8,2,30,3,0,27,12,2,5,0.288,0.348,0.42,0.768,0.361,122.1,
1989,삼성 라이온즈,장태수,CF,2.99,106,344,290,39,88,10,1,5,115,34,24,9,36,3,1,32,1,9,6,0.303,0.379,0.397,0.776,0.36,121.8,
1989,삼성 라이온즈,이종두,LF,2.54,110,382,333,63,91,15,3,10,142,52,26,12,33,5,0,49,5,6,5,0.273,0.343,0.426,0.77,0.357,119.3,
1989,삼성 라이온즈,김용철,1B,2.53,103,382,342,60,104,18,0,11,155,64,3,5,32,2,0,38,10,1,5,0.304,0.362,0.453,0.815,0.382,136.3,
1989,삼성 라이온즈,박승호,DH,2.1,96,333,299,41,87,15,1,12,140,49,3,1,30,2,6,39,3,0,2,0.291,0.357,0.468,0.826,0.381,135.4,
1989,삼성 라이온즈,류중일,SS,2.0,113,380,329,39,81,15,3,5,117,38,14,3,31,2,1,56,4,13,5,0.246,0.311,0.356,0.666,0.306,85.3,
1989,삼성 라이온즈,구윤,RF,1.99,91,333,290,44,83,19,0,5,117,30,13,10,31,6,2,72,4,4,2,0.286,0.365,0.403,0.768,0.361,122.3,
1989,삼성 라이온즈,김성현,C,1.39,48,92,80,13,25,4,5,2,45,21,7,3,7,2,0,22,1,3,0,0.313,0.382,0.563,0.945,0.42,161.5,
1989,삼성 라이온즈,김종갑,RF,0.9,37,88,74,13,21,2,0,5,38,16,1,1,13,0,0,12,3,0,1,0.284,0.386,0.514,0.9,0.417,159.6,
1989,삼성 라이온즈,최해명,,0.87,68,190,174,17,48,12,1,0,62,15,2,3,14,1,0,16,7,1,0,0.276,0.333,0.356,0.69,0.331,101.9,
1989,삼성 라이온즈,이현택,1B,0.67,64,145,128,18,36,7,0,2,49,15,7,3,14,0,0,21,1,2,1,0.281,0.35,0.383,0.733,0.346,112.3,
1989,삼성 라이온즈,정성룡,,0.37,44,108,91,9,20,6,0,1,29,10,2,0,13,1,0,19,3,1,2,0.22,0.318,0.319,0.636,0.307,86.0,
1989,삼성 라이온즈,이종옥,,0.37,15,27,25,6,9,1,1,0,12,0,1,0,2,0,0,7,0,0,0,0.36,0.407,0.48,0.887,0.419,160.8,
1989,삼성 라이온즈,김성래,2B,0.35,39,87,77,7,19,3,0,2,28,13,0,0,6,2,1,12,2,1,1,0.247,0.314,0.364,0.678,0.316,92.0,
1989,삼성 라이온즈,박정환,2B,0.13,48,98,91,9,20,3,0,2,29,13,1,2,7,0,0,16,1,0,0,0.22,0.276,0.319,0.594,0.286,72.2,
1989,삼성 라이온즈,김선훈,,0.08,2,4,3,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.333,0.5,0.667,1.167,0.523,230.6,
1989,삼성 라이온즈,하용석,C,0.06,4,5,4,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.25,0.4,0.25,0.65,0.338,107.1,
1989,삼성 라이온즈,정존수,,0.06,4,6,5,1,2,1,0,0,3,3,0,0,0,0,0,3,0,1,0,0.4,0.4,0.6,1.0,0.389,140.6,
1989,삼성 라이온즈,강영수,CF,0.02,57,143,117,16,17,3,0,4,32,13,1,2,22,0,0,33,3,3,1,0.145,0.279,0.274,0.552,0.269,60.8,
1989,삼성 라이온즈,홍승규,RF,-0.12,25,50,47,6,11,0,0,0,11,1,1,1,2,1,0,11,1,0,0,0.234,0.28,0.234,0.514,0.257,52.4,
1989,삼성 라이온즈,나광남,,-0.12,33,30,24,3,3,0,0,0,3,3,4,1,3,1,0,5,1,1,1,0.125,0.241,0.125,0.366,0.195,10.7,
1989,삼성 라이온즈,안민석,,-0.24,29,46,40,6,7,0,0,0,7,1,1,3,5,0,0,5,1,1,0,0.175,0.267,0.175,0.442,0.226,31.7,
1989,삼성 라이온즈,이홍식,,-0.28,16,16,15,1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0.0,0.063,0.0,0.063,0.045,-89.2,
1989,삼성 라이온즈,김정수,,-0.31,36,38,33,6,3,0,0,0,3,3,3,1,3,1,0,8,0,1,0,0.091,0.189,0.091,0.28,0.154,-16.7,
1989,삼성 라이온즈,강종필,,-0.42,50,43,40,5,5,1,0,0,6,3,6,3,1,0,0,11,1,0,0,0.125,0.146,0.15,0.296,0.139,-26.8,
1989,삼성 라이온즈,최무영,,-0.46,13,30,30,1,2,0,0,0,2,1,1,0,0,0,0,10,0,0,0,0.067,0.067,0.067,0.133,0.064,-76.5,
1989,빙그레 이글스,유승안,C,4.76,115,429,370,46,104,15,0,21,182,85,0,4,50,1,8,71,6,2,6,0.281,0.363,0.492,0.855,0.389,140.2,
1989,빙그레 이글스,장종훈,SS,3.4,112,301,256,49,65,11,0,18,130,46,6,4,33,7,0,55,3,2,3,0.254,0.351,0.508,0.859,0.394,143.9,
1989,빙그레 이글스,송일섭,CF,3.36,93,245,209,26,69,20,0,7,110,27,3,0,26,7,3,30,7,0,3,0.33,0.416,0.526,0.943,0.435,171.1,
1989,빙그레 이글스,고원부,RF,3.35,109,395,342,51,112,16,2,6,150,45,5,8,45,2,2,32,11,2,4,0.327,0.405,0.439,0.843,0.398,146.2,
1989,빙그레 이글스,이강돈,LF,2.96,120,507,464,67,137,24,4,9,196,66,12,10,35,0,3,73,5,4,4,0.295,0.342,0.422,0.764,0.356,118.5,
1989,빙그레 이글스,이정훈,RF,2.25,51,219,198,30,64,20,2,1,91,23,14,1,14,3,0,12,0,1,3,0.323,0.372,0.46,0.831,0.388,140.0,
1989,빙그레 이글스,이중화,CF,2.19,111,301,272,49,80,13,6,0,105,25,25,4,17,0,3,21,2,10,2,0.294,0.333,0.386,0.719,0.326,98.9,
1989,빙그레 이글스,김성갑,3B,2.13,103,348,284,47,69,18,2,4,103,45,12,7,45,5,0,27,6,10,4,0.243,0.352,0.363,0.715,0.336,105.1,
1989,빙그레 이글스,강정길,1B,1.81,119,384,341,38,97,17,3,4,132,48,4,2,31,6,0,27,10,0,6,0.284,0.349,0.387,0.736,0.351,115.3,
1989,빙그레 이글스,김상국,C,1.59,94,204,174,19,45,8,2,6,75,27,1,3,21,0,1,13,7,5,4,0.259,0.332,0.431,0.763,0.345,111.6,
1989,빙그레 이글스,조양근,2B,1.54,119,374,333,36,91,14,2,1,112,31,20,6,20,3,0,35,6,17,1,0.273,0.319,0.336,0.656,0.302,83.0,
1989,빙그레 이글스,강석천,3B,1.31,70,148,135,23,39,11,0,5,65,24,1,3,11,1,1,24,3,1,0,0.289,0.347,0.481,0.828,0.383,136.3,
1989,빙그레 이글스,전대영,1B,0.88,91,205,186,19,46,7,1,9,82,26,1,0,16,0,0,29,1,3,0,0.247,0.307,0.441,0.748,0.345,111.3,
1989,빙그레 이글스,황대연,SS,0.32,107,221,199,27,39,5,1,4,58,12,0,2,17,3,0,34,2,0,2,0.196,0.267,0.291,0.558,0.271,62.5,
1989,빙그레 이글스,조용호,LF,0.31,28,40,29,7,8,0,0,0,8,0,2,1,9,1,0,6,0,1,0,0.276,0.462,0.276,0.737,0.376,131.6,
1989,빙그레 이글스,황병일,2B,0.24,69,139,116,14,24,4,0,2,34,9,2,1,14,3,1,22,2,4,2,0.207,0.304,0.293,0.597,0.282,69.8,
1989,빙그레 이글스,곽동열,,0.19,19,22,21,3,7,2,0,0,9,0,0,0,0,1,0,3,1,0,0,0.333,0.364,0.429,0.792,0.378,133.4,
1989,빙그레 이글스,오효근,,0.16,12,14,10,5,3,0,0,0,3,1,2,0,2,1,0,4,0,0,1,0.3,0.429,0.3,0.729,0.365,124.6,
1989,빙그레 이글스,성군철,,0.05,77,58,53,20,10,1,1,0,13,6,10,2,2,2,0,8,0,1,0,0.189,0.246,0.245,0.491,0.238,40.2,
1989,빙그레 이글스,손경호,,0.03,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.483,202.9,
1989,빙그레 이글스,한희민,P,0.01,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.5,0.0,0.5,0.363,,
1989,빙그레 이글스,김수길,,-0.01,6,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.25,0.25,0.25,0.5,0.242,42.7,
1989,빙그레 이글스,박선일,C,-0.01,10,17,16,1,3,1,0,0,4,1,0,0,1,0,0,3,1,0,0,0.188,0.235,0.25,0.485,0.237,39.5,
1989,빙그레 이글스,김용선,2B,-0.04,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,-117.5,
1989,빙그레 이글스,김종문,C,-0.15,15,8,7,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.0,0.125,0.0,0.125,0.0,-117.5,
1989,빙그레 이글스,이종호,,-0.21,69,44,40,17,7,1,0,0,8,2,2,2,1,2,0,10,1,1,0,0.175,0.233,0.2,0.433,0.214,24.3,
1989,MBC 청룡,김재박,SS,3.85,101,425,357,64,102,8,2,3,123,27,39,14,53,4,0,33,6,7,4,0.286,0.38,0.345,0.725,0.349,115.0,
1989,MBC 청룡,윤덕규,CF,3.07,102,372,317,41,95,12,5,1,120,34,12,10,42,4,0,44,5,6,3,0.3,0.385,0.379,0.764,0.363,124.8,
1989,MBC 청룡,김상호,RF,2.83,109,425,362,51,93,9,4,13,149,56,21,10,50,5,2,87,3,3,5,0.257,0.351,0.412,0.762,0.357,120.6,
1989,MBC 청룡,김상훈,3B,2.58,103,421,371,36,104,15,2,5,138,57,11,5,38,2,4,18,13,3,7,0.28,0.345,0.372,0.717,0.337,106.1,
1989,MBC 청룡,노찬엽,LF,2.5,102,422,352,54,101,18,6,1,134,56,13,10,53,1,0,14,14,8,8,0.287,0.374,0.381,0.755,0.355,118.9,
1989,MBC 청룡,서효인,C,1.41,57,145,118,9,30,4,1,3,45,17,2,1,21,3,0,22,4,3,0,0.254,0.38,0.381,0.762,0.363,124.2,
1989,MBC 청룡,이광은,LF,1.03,87,319,273,40,64,11,5,4,97,47,12,5,35,3,5,17,6,5,3,0.234,0.325,0.355,0.68,0.315,91.2,
1989,MBC 청룡,박흥식,CF,0.95,67,231,189,21,42,6,1,2,56,14,9,6,32,4,0,28,2,6,0,0.222,0.347,0.296,0.643,0.314,90.1,
1989,MBC 청룡,최훈재,1B,0.91,58,177,152,16,44,12,2,0,60,14,5,6,20,1,0,15,2,4,0,0.289,0.376,0.395,0.771,0.362,124.0,
1989,MBC 청룡,김동재,DH,0.66,100,308,274,35,72,11,2,5,102,33,9,5,26,2,2,29,9,5,1,0.263,0.33,0.372,0.702,0.329,100.5,
1989,MBC 청룡,김기홍,,0.22,11,34,31,3,9,3,0,0,12,6,2,0,2,0,0,2,1,1,0,0.29,0.333,0.387,0.72,0.334,104.1,
1989,MBC 청룡,김영직,RF,0.21,76,187,166,13,39,3,4,1,53,18,3,7,19,1,0,18,1,1,0,0.235,0.317,0.319,0.637,0.309,86.5,
1989,MBC 청룡,나웅,2B,0.18,46,26,21,9,5,0,0,0,5,0,8,2,4,0,0,5,0,1,0,0.238,0.36,0.238,0.598,0.298,78.7,
1989,MBC 청룡,민경삼,SS,0.17,93,210,179,36,41,4,0,1,48,14,12,7,15,3,1,20,5,12,0,0.229,0.3,0.268,0.568,0.263,54.3,
1989,MBC 청룡,박성훈,,0.1,26,47,42,5,10,2,0,0,12,2,2,0,4,0,0,9,2,1,0,0.238,0.304,0.286,0.59,0.284,69.5,
1989,MBC 청룡,차동열,C,0.07,62,150,131,14,26,1,2,1,34,18,1,0,12,0,0,23,6,5,2,0.198,0.262,0.26,0.522,0.247,43.1,
1989,MBC 청룡,유지홍,1B,0.05,75,164,151,14,40,7,0,1,50,10,2,3,7,3,0,20,3,3,0,0.265,0.311,0.331,0.642,0.305,84.0,
1989,MBC 청룡,김진우,C,0.01,61,108,88,4,14,3,0,0,17,9,0,0,17,0,0,26,3,1,2,0.159,0.29,0.193,0.483,0.251,45.9,
1989,MBC 청룡,이승범,,-0.07,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-129.5,
1989,MBC 청룡,황윤태,,-0.11,12,5,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,-129.5,
1989,MBC 청룡,조상헌,,-0.18,7,6,6,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,-129.5,
1989,MBC 청룡,김성수,,-0.23,12,20,19,1,2,1,0,0,3,0,0,1,1,0,0,4,0,0,0,0.105,0.15,0.158,0.308,0.153,-22.5,
1989,MBC 청룡,김건우,P,-0.25,10,35,34,2,5,2,0,0,7,3,0,0,1,0,0,8,0,0,0,0.147,0.171,0.206,0.377,0.182,-2.4,
1989,MBC 청룡,심재원,C,-0.34,65,92,82,3,12,2,0,0,14,4,1,0,6,2,0,11,3,1,1,0.146,0.22,0.171,0.391,0.199,9.5,
1989,MBC 청룡,신언호,LF,-0.37,53,108,94,9,19,3,0,1,25,12,5,1,6,0,0,12,1,5,3,0.202,0.243,0.266,0.509,0.233,33.4,
1989,MBC 청룡,김경표,2B,-0.5,70,110,95,6,16,2,0,0,18,7,3,0,6,2,0,20,0,4,3,0.168,0.226,0.189,0.416,0.201,11.3,
1989,롯데 자이언츠,한영준,3B,3.38,120,516,440,53,111,23,4,10,172,59,15,9,58,5,3,50,12,7,6,0.252,0.342,0.391,0.733,0.342,109.6,
1989,롯데 자이언츠,김민호,1B,2.71,115,429,357,40,104,24,2,4,144,49,3,3,66,1,13,42,5,3,2,0.291,0.401,0.403,0.805,0.374,131.3,
1989,롯데 자이언츠,장효조,RF,2.63,94,393,333,40,101,8,3,1,118,31,12,15,56,3,0,30,2,0,1,0.303,0.407,0.354,0.762,0.375,131.4,
1989,롯데 자이언츠,허규옥,LF,2.09,96,372,330,34,93,13,4,3,123,28,14,4,36,0,1,58,6,5,1,0.282,0.352,0.373,0.724,0.343,110.0,
1989,롯데 자이언츠,최계영,CF,1.47,105,376,316,45,76,9,2,1,92,21,15,8,47,2,0,31,7,10,1,0.241,0.342,0.291,0.633,0.307,85.9,
1989,롯데 자이언츠,정구선,RF,0.99,90,335,278,25,64,12,0,5,91,29,1,3,47,4,0,34,11,3,3,0.23,0.346,0.327,0.674,0.328,100.2,
1989,롯데 자이언츠,한문연,C,0.82,78,197,168,14,43,8,0,0,51,16,1,1,19,0,0,16,5,8,2,0.256,0.328,0.304,0.632,0.297,79.3,
1989,롯데 자이언츠,박태호,SS,0.71,57,140,128,10,36,4,0,2,46,12,2,0,7,0,0,18,5,5,0,0.281,0.319,0.359,0.678,0.314,90.5,
1989,롯데 자이언츠,김응국,LF,0.57,10,30,29,5,14,0,0,1,17,3,2,1,0,1,0,2,0,0,0,0.483,0.5,0.586,1.086,0.517,227.4,
1989,롯데 자이언츠,박상국,SS,0.54,88,176,151,13,30,3,2,4,49,19,1,2,20,1,1,39,2,2,2,0.199,0.293,0.325,0.618,0.292,76.2,
1989,롯데 자이언츠,이재성,2B,0.46,38,66,57,8,16,1,2,0,21,4,2,3,9,0,0,18,2,0,0,0.281,0.379,0.368,0.747,0.362,123.1,
1989,롯데 자이언츠,김용운,C,0.42,79,206,178,14,43,5,1,1,53,17,2,1,12,1,0,13,8,14,1,0.242,0.292,0.298,0.589,0.267,59.0,
1989,롯데 자이언츠,조성옥,DH,0.26,101,339,275,26,71,18,1,0,91,33,5,6,40,3,0,18,3,18,3,0.258,0.355,0.331,0.686,0.318,93.5,
1989,롯데 자이언츠,김상우,,0.24,20,50,46,3,11,1,0,1,15,5,4,0,4,0,0,4,0,0,0,0.239,0.3,0.326,0.626,0.303,83.4,
1989,롯데 자이언츠,이종운,RF,0.23,61,70,64,8,17,5,0,0,22,6,2,0,5,0,0,14,1,1,0,0.266,0.319,0.344,0.663,0.315,91.3,
1989,롯데 자이언츠,전종화,C,0.14,5,5,4,0,2,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0.5,0.6,0.75,1.35,0.612,290.9,
1989,롯데 자이언츠,정국헌,,0.04,30,41,39,4,8,1,0,1,12,3,2,0,1,1,0,14,0,0,0,0.205,0.244,0.308,0.552,0.265,57.3,
1989,롯데 자이언츠,추상완,,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,,
1989,롯데 자이언츠,정학수,2B,-0.01,3,7,5,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.2,0.286,0.2,0.486,0.242,42.0,
1989,롯데 자이언츠,유두열,,-0.04,58,156,134,10,25,6,1,1,36,11,1,3,16,3,0,19,3,2,1,0.187,0.286,0.269,0.554,0.272,62.4,
1989,롯데 자이언츠,차영석,C,-0.06,15,15,11,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0.0,0.267,0.0,0.267,0.194,9.7,
1989,롯데 자이언츠,김재상,1B,-0.1,39,35,30,8,6,0,0,0,6,0,6,3,3,1,0,7,0,1,0,0.2,0.294,0.2,0.494,0.25,47.3,
1989,롯데 자이언츠,현남수,,-0.21,60,94,80,12,15,3,1,0,20,5,1,1,8,0,0,12,1,5,1,0.188,0.258,0.25,0.508,0.237,38.7,
1989,롯데 자이언츠,김용희,3B,-0.22,14,16,16,1,1,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0.063,0.063,0.125,0.188,0.085,-63.2,
1989,롯데 자이언츠,박영태,2B,-0.25,36,34,31,9,6,0,0,0,6,1,1,2,1,0,0,3,3,2,0,0.194,0.219,0.194,0.412,0.192,8.4,
1989,롯데 자이언츠,오대석,1B,-0.27,92,305,247,18,48,5,0,3,62,21,4,3,48,1,1,39,7,7,2,0.194,0.326,0.251,0.577,0.286,71.8,
1989,롯데 자이언츠,김선일,C,-0.32,43,49,48,3,7,0,0,0,7,3,1,0,1,0,0,6,2,0,0,0.146,0.163,0.146,0.309,0.153,-17.8,
1989,롯데 자이언츠,이창원,,-0.39,53,61,56,4,9,1,0,0,10,2,1,2,3,1,0,9,0,1,0,0.161,0.217,0.179,0.395,0.197,12.1,
1989,롯데 자이언츠,김인호,,-0.47,49,98,87,11,16,3,0,0,19,2,2,4,6,1,0,19,3,4,0,0.184,0.245,0.218,0.463,0.222,28.8,
1989,해태 타이거즈,김성한,1B,5.86,118,513,414,93,116,18,0,26,212,84,32,8,84,9,11,62,7,0,6,0.28,0.407,0.512,0.92,0.421,164.4,
1989,해태 타이거즈,한대화,3B,4.97,106,443,358,52,100,14,2,13,157,63,15,9,81,0,5,42,7,0,4,0.279,0.409,0.439,0.847,0.399,149.7,
1989,해태 타이거즈,박철우,LF,3.51,112,377,340,47,108,15,1,13,164,59,0,2,27,8,3,41,12,2,0,0.318,0.381,0.482,0.864,0.403,152.0,
1989,해태 타이거즈,장채근,C,2.51,102,357,316,27,77,15,0,10,122,37,0,1,35,3,2,53,13,2,1,0.244,0.324,0.386,0.71,0.335,105.0,
1989,해태 타이거즈,이순철,CF,2.49,101,434,373,58,90,13,1,12,141,46,24,15,46,6,2,52,10,7,2,0.241,0.333,0.378,0.711,0.334,104.1,
1989,해태 타이거즈,백인호,SS,2.41,103,437,379,58,101,17,1,3,129,26,11,17,45,5,0,25,8,7,1,0.266,0.351,0.34,0.692,0.332,103.2,
1989,해태 타이거즈,서정환,2B,0.97,64,153,132,16,34,4,0,3,47,17,4,2,16,3,0,23,2,2,0,0.258,0.351,0.356,0.707,0.34,108.5,
1989,해태 타이거즈,문승훈,2B,0.89,58,117,100,14,28,1,1,2,37,15,1,0,13,2,1,17,3,1,1,0.28,0.371,0.37,0.741,0.353,117.2,
1989,해태 타이거즈,김준환,LF,0.63,103,364,330,27,83,10,2,4,109,44,1,0,27,2,1,44,13,3,2,0.252,0.31,0.33,0.641,0.306,84.7,
1989,해태 타이거즈,조충열,2B,0.51,101,326,285,29,69,12,1,0,83,12,2,4,27,3,0,28,10,8,3,0.242,0.311,0.291,0.603,0.289,72.7,
